word,rank,frequency,source
the,1,1.00000000,google_20k_evaluation
of,2,0.50000000,google_20k_evaluation
and,3,0.33333333,google_20k_evaluation
to,4,0.25000000,google_20k_evaluation
a,5,0.20000000,google_20k_evaluation
in,6,0.16666667,google_20k_evaluation
for,7,0.14285714,google_20k_evaluation
is,8,0.12500000,google_20k_evaluation
on,9,0.11111111,google_20k_evaluation
that,10,0.10000000,google_20k_evaluation
by,11,0.09090909,google_20k_evaluation
this,12,0.08333333,google_20k_evaluation
with,13,0.07692308,google_20k_evaluation
i,14,0.07142857,google_20k_evaluation
you,15,0.06666667,google_20k_evaluation
it,16,0.06250000,google_20k_evaluation
not,17,0.05882353,google_20k_evaluation
or,18,0.05555556,google_20k_evaluation
be,19,0.05263158,google_20k_evaluation
are,20,0.05000000,google_20k_evaluation
from,21,0.04761905,google_20k_evaluation
at,22,0.04545455,google_20k_evaluation
as,23,0.04347826,google_20k_evaluation
your,24,0.04166667,google_20k_evaluation
all,25,0.04000000,google_20k_evaluation
have,26,0.03846154,google_20k_evaluation
new,27,0.03703704,google_20k_evaluation
more,28,0.03571429,google_20k_evaluation
an,29,0.03448276,google_20k_evaluation
was,30,0.03333333,google_20k_evaluation
we,31,0.03225806,google_20k_evaluation
will,32,0.03125000,google_20k_evaluation
home,33,0.03030303,google_20k_evaluation
can,34,0.02941176,google_20k_evaluation
us,35,0.02857143,google_20k_evaluation
about,36,0.02777778,google_20k_evaluation
if,37,0.02702703,google_20k_evaluation
page,38,0.02631579,google_20k_evaluation
my,39,0.02564103,google_20k_evaluation
has,40,0.02500000,google_20k_evaluation
search,41,0.02439024,google_20k_evaluation
free,42,0.02380952,google_20k_evaluation
but,43,0.02325581,google_20k_evaluation
our,44,0.02272727,google_20k_evaluation
one,45,0.02222222,google_20k_evaluation
other,46,0.02173913,google_20k_evaluation
do,47,0.02127660,google_20k_evaluation
no,48,0.02083333,google_20k_evaluation
information,49,0.02040816,google_20k_evaluation
time,50,0.02000000,google_20k_evaluation
they,51,0.01960784,google_20k_evaluation
site,52,0.01923077,google_20k_evaluation
he,53,0.01886792,google_20k_evaluation
up,54,0.01851852,google_20k_evaluation
may,55,0.01818182,google_20k_evaluation
what,56,0.01785714,google_20k_evaluation
which,57,0.01754386,google_20k_evaluation
their,58,0.01724138,google_20k_evaluation
news,59,0.01694915,google_20k_evaluation
out,60,0.01666667,google_20k_evaluation
use,61,0.01639344,google_20k_evaluation
any,62,0.01612903,google_20k_evaluation
there,63,0.01587302,google_20k_evaluation
see,64,0.01562500,google_20k_evaluation
only,65,0.01538462,google_20k_evaluation
so,66,0.01515152,google_20k_evaluation
his,67,0.01492537,google_20k_evaluation
when,68,0.01470588,google_20k_evaluation
contact,69,0.01449275,google_20k_evaluation
here,70,0.01428571,google_20k_evaluation
business,71,0.01408451,google_20k_evaluation
who,72,0.01388889,google_20k_evaluation
web,73,0.01369863,google_20k_evaluation
also,74,0.01351351,google_20k_evaluation
now,75,0.01333333,google_20k_evaluation
help,76,0.01315789,google_20k_evaluation
get,77,0.01298701,google_20k_evaluation
pm,78,0.01282051,google_20k_evaluation
view,79,0.01265823,google_20k_evaluation
online,80,0.01250000,google_20k_evaluation
c,81,0.01234568,google_20k_evaluation
e,82,0.01219512,google_20k_evaluation
first,83,0.01204819,google_20k_evaluation
am,84,0.01190476,google_20k_evaluation
been,85,0.01176471,google_20k_evaluation
would,86,0.01162791,google_20k_evaluation
how,87,0.01149425,google_20k_evaluation
were,88,0.01136364,google_20k_evaluation
me,89,0.01123596,google_20k_evaluation
s,90,0.01111111,google_20k_evaluation
services,91,0.01098901,google_20k_evaluation
some,92,0.01086957,google_20k_evaluation
these,93,0.01075269,google_20k_evaluation
click,94,0.01063830,google_20k_evaluation
its,95,0.01052632,google_20k_evaluation
like,96,0.01041667,google_20k_evaluation
service,97,0.01030928,google_20k_evaluation
x,98,0.01020408,google_20k_evaluation
than,99,0.01010101,google_20k_evaluation
find,100,0.01000000,google_20k_evaluation
price,101,0.00990099,google_20k_evaluation
date,102,0.00980392,google_20k_evaluation
back,103,0.00970874,google_20k_evaluation
top,104,0.00961538,google_20k_evaluation
people,105,0.00952381,google_20k_evaluation
had,106,0.00943396,google_20k_evaluation
list,107,0.00934579,google_20k_evaluation
name,108,0.00925926,google_20k_evaluation
just,109,0.00917431,google_20k_evaluation
over,110,0.00909091,google_20k_evaluation
state,111,0.00900901,google_20k_evaluation
year,112,0.00892857,google_20k_evaluation
day,113,0.00884956,google_20k_evaluation
into,114,0.00877193,google_20k_evaluation
email,115,0.00869565,google_20k_evaluation
two,116,0.00862069,google_20k_evaluation
health,117,0.00854701,google_20k_evaluation
n,118,0.00847458,google_20k_evaluation
world,119,0.00840336,google_20k_evaluation
re,120,0.00833333,google_20k_evaluation
next,121,0.00826446,google_20k_evaluation
used,122,0.00819672,google_20k_evaluation
go,123,0.00813008,google_20k_evaluation
b,124,0.00806452,google_20k_evaluation
work,125,0.00800000,google_20k_evaluation
last,126,0.00793651,google_20k_evaluation
most,127,0.00787402,google_20k_evaluation
products,128,0.00781250,google_20k_evaluation
music,129,0.00775194,google_20k_evaluation
buy,130,0.00769231,google_20k_evaluation
data,131,0.00763359,google_20k_evaluation
make,132,0.00757576,google_20k_evaluation
them,133,0.00751880,google_20k_evaluation
should,134,0.00746269,google_20k_evaluation
product,135,0.00740741,google_20k_evaluation
system,136,0.00735294,google_20k_evaluation
post,137,0.00729927,google_20k_evaluation
her,138,0.00724638,google_20k_evaluation
city,139,0.00719424,google_20k_evaluation
t,140,0.00714286,google_20k_evaluation
add,141,0.00709220,google_20k_evaluation
policy,142,0.00704225,google_20k_evaluation
number,143,0.00699301,google_20k_evaluation
such,144,0.00694444,google_20k_evaluation
please,145,0.00689655,google_20k_evaluation
available,146,0.00684932,google_20k_evaluation
copyright,147,0.00680272,google_20k_evaluation
support,148,0.00675676,google_20k_evaluation
message,149,0.00671141,google_20k_evaluation
after,150,0.00666667,google_20k_evaluation
best,151,0.00662252,google_20k_evaluation
software,152,0.00657895,google_20k_evaluation
then,153,0.00653595,google_20k_evaluation
jan,154,0.00649351,google_20k_evaluation
good,155,0.00645161,google_20k_evaluation
video,156,0.00641026,google_20k_evaluation
well,157,0.00636943,google_20k_evaluation
d,158,0.00632911,google_20k_evaluation
where,159,0.00628931,google_20k_evaluation
info,160,0.00625000,google_20k_evaluation
rights,161,0.00621118,google_20k_evaluation
public,162,0.00617284,google_20k_evaluation
books,163,0.00613497,google_20k_evaluation
