unknown_ratio,sample_length,repeat,estimate,range_low,range_high,confidence,sample_size,evaluation_source
0.1,200,1,13622,13382,13622,0.884,200,evaluation_wordlist.csv
0.1,200,2,13221,13052,13221,0.888,200,evaluation_wordlist.csv
0.1,200,3,12727,12697,12727,0.898,200,evaluation_wordlist.csv
0.1,200,4,13333,13295,13333,0.897,200,evaluation_wordlist.csv
0.1,200,5,12898,12751,12898,0.89,200,evaluation_wordlist.csv
0.1,200,6,13773,13430,13773,0.878,200,evaluation_wordlist.csv
0.1,200,7,13158,13114,13158,0.897,200,evaluation_wordlist.csv
0.1,200,8,12297,12232,12297,0.895,200,evaluation_wordlist.csv
0.1,200,9,13617,13546,13617,0.895,200,evaluation_wordlist.csv
0.1,200,10,12982,12877,12982,0.893,200,evaluation_wordlist.csv
0.1,200,11,13005,12942,13005,0.896,200,evaluation_wordlist.csv
0.1,200,12,13270,13227,13270,0.897,200,evaluation_wordlist.csv
0.1,200,13,13341,13310,13341,0.898,200,evaluation_wordlist.csv
0.1,200,14,13343,13236,13343,0.893,200,evaluation_wordlist.csv
0.1,200,15,13366,13250,13366,0.892,200,evaluation_wordlist.csv
0.1,200,16,12943,12718,12943,0.884,200,evaluation_wordlist.csv
0.1,200,17,13236,13192,13236,0.897,200,evaluation_wordlist.csv
0.1,200,18,13170,12819,13170,0.876,200,evaluation_wordlist.csv
0.1,200,19,13503,13356,13503,0.89,200,evaluation_wordlist.csv
0.1,200,20,13275,13263,13275,0.899,200,evaluation_wordlist.csv
0.1,200,21,12272,12137,12272,0.89,200,evaluation_wordlist.csv
0.1,200,22,12960,12787,12960,0.888,200,evaluation_wordlist.csv
0.1,200,23,13359,13013,13359,0.877,200,evaluation_wordlist.csv
0.1,200,24,13606,13417,13606,0.887,200,evaluation_wordlist.csv
0.1,200,25,12891,12724,12891,0.888,200,evaluation_wordlist.csv
0.1,200,26,13058,12970,13058,0.894,200,evaluation_wordlist.csv
0.1,200,27,13295,13061,13295,0.884,200,evaluation_wordlist.csv
0.1,200,28,12553,12317,12553,0.883,200,evaluation_wordlist.csv
0.1,200,29,13412,13232,13412,0.888,200,evaluation_wordlist.csv
0.1,200,30,12584,12511,12584,0.895,200,evaluation_wordlist.csv
0.1,200,31,13189,13090,13189,0.893,200,evaluation_wordlist.csv
0.1,200,32,13406,13002,13406,0.873,200,evaluation_wordlist.csv
0.1,200,33,13531,13442,13531,0.894,200,evaluation_wordlist.csv
0.1,200,34,13468,13282,13468,0.888,200,evaluation_wordlist.csv
0.1,200,35,13306,13097,13306,0.886,200,evaluation_wordlist.csv
0.1,200,36,12786,12670,12786,0.892,200,evaluation_wordlist.csv
0.1,200,37,12236,11875,12236,0.873,200,evaluation_wordlist.csv
0.1,200,38,12926,12774,12926,0.889,200,evaluation_wordlist.csv
0.1,200,39,12883,12775,12883,0.892,200,evaluation_wordlist.csv
0.1,200,40,13228,13159,13228,0.895,200,evaluation_wordlist.csv
0.1,200,41,13112,12974,13112,0.891,200,evaluation_wordlist.csv
0.1,200,42,13194,12824,13194,0.875,200,evaluation_wordlist.csv
0.1,200,43,12718,12584,12718,0.891,200,evaluation_wordlist.csv
0.1,200,44,13506,13341,13506,0.889,200,evaluation_wordlist.csv
0.1,200,45,13637,13318,13637,0.879,200,evaluation_wordlist.csv
0.1,200,46,13229,13115,13229,0.892,200,evaluation_wordlist.csv
0.1,200,47,13596,13490,13596,0.893,200,evaluation_wordlist.csv
0.1,200,48,13244,12995,13244,0.883,200,evaluation_wordlist.csv
0.1,200,49,12945,12809,12945,0.891,200,evaluation_wordlist.csv
0.1,200,50,13087,13047,13087,0.897,200,evaluation_wordlist.csv
0.1,200,51,13220,13040,13220,0.888,200,evaluation_wordlist.csv
0.1,200,52,13416,12821,13416,0.86,200,evaluation_wordlist.csv
0.1,200,53,13290,13065,13290,0.885,200,evaluation_wordlist.csv
0.1,200,54,13378,13332,13378,0.897,200,evaluation_wordlist.csv
0.1,200,55,12772,12612,12772,0.889,200,evaluation_wordlist.csv
0.1,200,56,13537,13326,13537,0.886,200,evaluation_wordlist.csv
0.1,200,57,12869,12483,12869,0.873,200,evaluation_wordlist.csv
0.1,200,58,13435,13381,13435,0.896,200,evaluation_wordlist.csv
0.1,200,59,13435,13349,13435,0.894,200,evaluation_wordlist.csv
0.1,200,60,13358,13059,13358,0.88,200,evaluation_wordlist.csv
0.1,200,61,13492,13278,13492,0.886,200,evaluation_wordlist.csv
0.1,200,62,13042,12741,13042,0.879,200,evaluation_wordlist.csv
0.1,200,63,13839,13689,13839,0.89,200,evaluation_wordlist.csv
0.1,200,64,13503,13132,13503,0.875,200,evaluation_wordlist.csv
0.1,200,65,13114,12763,13114,0.876,200,evaluation_wordlist.csv
0.1,200,66,12955,12776,12955,0.888,200,evaluation_wordlist.csv
0.1,200,67,13339,13076,13339,0.882,200,evaluation_wordlist.csv
0.1,200,68,13058,12943,13058,0.892,200,evaluation_wordlist.csv
0.1,200,69,12700,12602,12700,0.893,200,evaluation_wordlist.csv
0.1,200,70,13106,12832,13106,0.881,200,evaluation_wordlist.csv
0.1,200,71,12895,12842,12895,0.896,200,evaluation_wordlist.csv
0.1,200,72,13187,13017,13187,0.888,200,evaluation_wordlist.csv
0.1,200,73,13187,13180,13187,0.9,200,evaluation_wordlist.csv
0.1,200,74,13416,13076,13416,0.877,200,evaluation_wordlist.csv
0.1,200,75,13507,13373,13507,0.891,200,evaluation_wordlist.csv
0.1,200,76,13343,13083,13343,0.882,200,evaluation_wordlist.csv
0.1,200,77,13737,13653,13737,0.894,200,evaluation_wordlist.csv
0.1,200,78,13162,12850,13162,0.879,200,evaluation_wordlist.csv
0.1,200,79,12735,12612,12735,0.891,200,evaluation_wordlist.csv
0.1,200,80,13696,13379,13696,0.879,200,evaluation_wordlist.csv
0.1,200,81,13593,13564,13593,0.898,200,evaluation_wordlist.csv
0.1,200,82,13224,12894,13224,0.878,200,evaluation_wordlist.csv
0.1,200,83,13234,13056,13234,0.888,200,evaluation_wordlist.csv
0.1,200,84,13230,13128,13230,0.893,200,evaluation_wordlist.csv
0.1,200,85,13641,13507,13641,0.891,200,evaluation_wordlist.csv
0.1,200,86,13556,13320,13556,0.884,200,evaluation_wordlist.csv
0.1,200,87,13281,13018,13281,0.882,200,evaluation_wordlist.csv
0.1,200,88,12550,12391,12550,0.889,200,evaluation_wordlist.csv
0.1,200,89,12966,12577,12966,0.873,200,evaluation_wordlist.csv
0.1,200,90,13063,12987,13063,0.895,200,evaluation_wordlist.csv
0.1,200,91,13004,12552,13004,0.869,200,evaluation_wordlist.csv
0.1,200,92,12689,12546,12689,0.89,200,evaluation_wordlist.csv
0.1,200,93,13062,12918,13062,0.89,200,evaluation_wordlist.csv
0.1,200,94,13160,13131,13160,0.898,200,evaluation_wordlist.csv
0.1,200,95,13369,12592,13369,0.848,200,evaluation_wordlist.csv
0.1,200,96,12389,12256,12389,0.89,200,evaluation_wordlist.csv
0.1,200,97,13178,12611,13178,0.861,200,evaluation_wordlist.csv
0.1,200,98,12875,12475,12875,0.872,200,evaluation_wordlist.csv
0.1,200,99,13174,13002,13174,0.888,200,evaluation_wordlist.csv
0.1,200,100,12940,12745,12940,0.886,200,evaluation_wordlist.csv
0.1,300,1,12775,12445,12775,0.877,300,evaluation_wordlist.csv
0.1,300,2,13205,13148,13205,0.896,300,evaluation_wordlist.csv
0.1,300,3,13195,13083,13195,0.892,300,evaluation_wordlist.csv
0.1,300,4,13452,13381,13452,0.895,300,evaluation_wordlist.csv
0.1,300,5,12934,12765,12934,0.888,300,evaluation_wordlist.csv
0.1,300,6,13142,12969,13142,0.888,300,evaluation_wordlist.csv
0.1,300,7,13273,13132,13273,0.89,300,evaluation_wordlist.csv
0.1,300,8,13301,13254,13301,0.897,300,evaluation_wordlist.csv
0.1,300,9,13498,13407,13498,0.894,300,evaluation_wordlist.csv
0.1,300,10,13201,13120,13201,0.894,300,evaluation_wordlist.csv
0.1,300,11,12731,12538,12731,0.886,300,evaluation_wordlist.csv
0.1,300,12,13710,13621,13710,0.894,300,evaluation_wordlist.csv
0.1,300,13,12894,12839,12894,0.896,300,evaluation_wordlist.csv
0.1,300,14,13227,13035,13227,0.887,300,evaluation_wordlist.csv
0.1,300,15,13245,13029,13245,0.885,300,evaluation_wordlist.csv
0.1,300,16,13785,13744,13785,0.897,300,evaluation_wordlist.csv
0.1,300,17,12765,12677,12765,0.894,300,evaluation_wordlist.csv
0.1,300,18,13276,13189,13276,0.894,300,evaluation_wordlist.csv
0.1,300,19,12868,12685,12868,0.887,300,evaluation_wordlist.csv
0.1,300,20,13379,13234,13379,0.89,300,evaluation_wordlist.csv
0.1,300,21,13030,12843,13030,0.887,300,evaluation_wordlist.csv
